DrawNo,Number1,Number2,Number3,Number4,Number5,Number6,Bonus,1st Prize,2nd Prize,3rd Prize,4th Prize,5th Prize
217,16,20,27,33,35,39,38,11278723204,1611246172,1879787221,64820249,1879787376
218,1,8,14,18,29,44,20,11116303200,2779075800,1852717204,71258354,1852717443
219,4,11,20,26,35,37,16,10875682503,1208409167,1812613772,44210092,1812613984
220,5,11,19,21,34,43,31,11748569700,1958094950,1958094964,69931963,1958095845
221,2,20,33,35,37,40,10,10800625500,1800104250,1800104284,40911461,1800104544
222,5,7,28,29,39,43,44,11375969100,2275193820,1895994870,57454390,1895995465
223,1,3,18,20,26,27,38,10487194200,1498170600,1747865730,44817070,1747866504
224,4,19,26,27,30,42,7,10853819700,1808969950,1808969968,69575768,1808970858
225,5,11,13,19,31,36,7,10663210800,1777201800,1777201826,43346386,1777202856
226,2,6,8,14,21,22,34,10464600900,1744100150,1744100174,45897373,1744101180
227,4,5,15,16,22,42,2,10507084800,5253542400,1751180808,72965867,1751181259
228,17,25,35,36,39,44,23,10320303006,1146700334,1720050501,44103859,1720051182
229,4,5,9,11,23,38,35,10160087700,1451441100,1693347957,62716591,1693348544
230,5,11,14,29,32,33,12,10343433304,1292929163,1723905550,68956222,1723905689
231,5,10,19,31,44,45,27,9795293100,1088365900,1632548856,85923624,1632549772
232,8,9,10,12,24,44,35,9998265600,1110918400,1666377612,92576534,1666377704
233,4,6,13,17,28,40,39,9991537500,999153750,1665256268,64048318,1665256866
234,13,21,22,24,26,37,4,10078975500,2519743875,1679829265,73036055,1679829787
235,21,22,26,27,31,37,8,10299990300,3433330100,1716665063,59195347,1716665238
236,1,4,8,13,37,39,7,10060080300,5030040150,1676680076,40894636,1676680470
237,1,11,17,21,24,44,33,10084415103,1440630729,1680735888,43095792,1680736050
238,2,4,15,28,31,34,35,10094945103,1121660567,1682490854,58016926,1682491252
239,11,15,24,39,41,44,7,10207261503,1134140167,1701210267,58662423,1701211056
240,6,10,16,40,41,43,21,10196502900,5098251450,1699417160,60693470,1699417152
241,2,16,24,27,28,35,21,10208065200,2552016300,1701344224,50039536,1701344635
242,4,19,20,21,32,34,43,9876339000,1234542375,1646056512,45723792,1646056830
243,2,12,17,19,28,42,34,9635400000,2408850000,1605900027,55375863,1605900384
244,13,16,25,36,37,38,19,9121583100,9121583100,1520263850,60810554,1520264888
245,9,11,27,31,32,38,22,9678081903,1382583129,1613013675,46086105,1613013948
246,13,18,21,23,26,39,15,9558871200,1911774240,1593145216,61274816,1593145626
247,12,15,28,36,39,40,13,10015883400,1669313900,1669313921,57562549,1669314591
248,3,8,17,23,38,45,13,9819834904,1227479363,1636639152,71158224,1636639620
249,3,8,27,31,41,44,11,9981412200,1663568700,1663568702,57364438,1663568830
250,19,23,30,37,43,45,38,9973631400,1994726280,1662271900,97780700,1662272110
251,6,7,19,25,28,38,45,10260931200,1282616400,1710155200,42753880,1710155754
252,14,23,26,31,39,45,28,9737628005,1391089715,1622938008,67622417,1622938828
253,8,19,25,31,34,36,33,9864758100,2466189525,1644126360,82206318,1644127191
254,1,5,19,20,24,30,27,9741015900,9741015900,1623502650,49197050,1623503525
255,1,5,6,24,27,42,32,9591711300,1598618550,1598618554,122970658,1598618664
256,4,11,14,21,23,43,32,9782034000,4891017000,1630339032,47951148,1630340120
257,6,13,27,31,32,37,4,9565508100,2391377025,1594251360,88569520,1594251738
258,14,27,30,31,38,40,17,9705737400,2426434350,1617622916,57772247,1617624028
259,4,5,14,35,42,45,34,9677067000,4838533500,1612844500,64513780,1612845070
260,7,12,15,24,37,40,43,9240342300,2310085575,1540057064,59232964,1540057848
261,6,11,16,18,31,43,2,9576897300,3192299100,1596149568,49879674,1596149952
262,9,12,24,25,29,31,36,9037483200,4518741600,1506247218,71726058,1506248128
263,1,27,28,32,37,40,18,9310229400,1551704900,1551704904,57470552,1551705732
264,9,16,27,36,41,44,5,9414224400,1344889200,1569037419,58112497,1569038388
265,5,9,34,37,38,39,12,9606708600,1200838575,1601118106,84269374,1601118660
266,3,4,9,11,22,42,37,9621635100,3207211700,1603605852,44544607,1603606476
267,7,8,24,34,36,41,1,9772989900,3257663300,1628831652,58172559,1628832268
268,3,10,19,24,32,45,12,9456681605,1350954515,1576113630,45031818,1576114572
269,5,18,20,36,42,43,32,9806999700,1961399940,1634499966,74295453,1634500062
270,5,9,12,20,21,26,27,9639150300,1927830060,1606525056,50203908,1606525758
271,3,8,9,27,29,40,36,9395508900,1565918150,1565918172,55925649,1565919256
272,7,9,12,27,39,43,28,9941605200,1104622800,1656934227,42485493,1656935540
273,1,8,24,31,34,44,6,10018629300,3339543100,1669771551,79512931,1669772440
274,13,14,15,26,35,39,25,10020342300,2505085575,1670057086,45136678,1670057136
275,14,19,20,35,38,40,26,10044066900,10044066900,1674011150,88105850,1674012065
276,4,15,21,33,39,41,25,9937707000,3312569000,1656284523,53428533,1656284922
277,10,12,13,15,25,29,20,9817883400,3272627800,1636313920,52784320,1636314576
278,3,11,37,39,41,43,13,9559590000,3186530000,1593265005,59009815,1593265806
279,7,16,31,36,37,38,11,9571026600,1914205320,1595171124,59080412,1595171200
280,10,11,23,24,36,37,35,9486809703,1355258529,1581134958,58560554,1581135080
281,1,3,4,6,14,41,12,9328099200,1554683200,1554683205,42018465,1554683592
282,2,5,10,18,31,32,30,9254368501,1322052643,1542394752,48199836,1542395405
283,6,8,18,31,38,45,42,9411673800,3137224600,1568612304,65358846,1568613169
284,2,7,15,24,30,45,28,9352920900,3117640300,1558820158,111344297,1558820715
285,13,33,37,40,41,45,2,9493110300,3164370100,1582185072,60853272,1582185546
