region,price,area,purpose
1,2100000000,4,1
1,2765000000,4,1
1,326000000,1,2
1,2100000000,4,1
1,3070000000,4,1
1,6550000000,5,1
1,2970000000,4,1
1,9000000000,5,1
1,480000000,1,3
1,4000000000,5,1
1,2740000000,4,1
1,250000000,1,2
1,3150000000,4,1
1,1560000000,3,1
1,3100000000,4,1
1,1379040000,3,1
1,5600000000,5,1
1,1368840000,3,1
1,170000000,1,2
1,223000000,1,2
1,1250000000,3,1
1,1370000000,3,2
1,950000000,2,2
1,2435000000,4,1
1,2750000000,4,1
1,5500000000,5,1
1,1500000000,3,1
1,1310000000,3,1
1,3250000000,4,1
1,194000000,1,2
1,2230000000,4,1
1,239000000,1,2
1,3045000000,4,1
1,1490000000,3,1
1,2730000000,4,1
1,440000000,1,2
1,395000000,1,2
1,1050000000,2,1
1,300000000,1,2
1,1950000000,3,1
1,165000000,1,3
1,1100000000,2,1
1,3150000000,4,1
1,1550000000,3,1
1,5950000000,5,1
1,1700000000,3,1
1,240000000,1,2
1,1220000000,3,1
1,2380000000,4,1
1,2000000000,3,1
1,1280000000,3,1
1,230000000,1,2
1,1540000000,3,1
1,1540000000,3,1
1,7450000000,5,1
1,1590000000,3,1
1,3300000000,4,1
1,2000000000,3,1
1,1010000000,2,1
1,1910000000,3,1
1,270000000,1,2
1,270000000,1,2
1,385000000,1,2
1,5700000000,5,1
1,390000000,1,3
1,2048000000,4,1
1,3500000000,4,1
1,1425000000,3,1
1,1460000000,3,1
1,1720000000,3,1
1,1720000000,3,1
1,2070000000,4,1
1,3000000000,4,1
1,3700000000,5,1
1,270000000,1,2
1,2950000000,4,1
1,1600000000,3,1
1,2650000000,4,1
1,1550000000,3,1
1,1890000000,3,1
1,220000000,1,2
1,2450000000,4,1
1,2400000000,4,1
1,2300000000,4,1
1,6600000000,5,1
1,897600000,2,1
1,1500000000,3,1
1,980000000,2,1
1,1240000000,3,1
1,395000000,1,2
1,200000000,1,2
1,2700000000,4,1
1,1975000000,3,1
1,2000000000,3,1
1,2800000000,4,1
1,1650000000,3,1
1,2875000000,4,1
1,1070000000,2,1
1,3130000000,4,1
1,950000000,2,1
1,1570000000,3,1
1,645000000,2,3
1,5290000000,5,1
1,1410000000,3,1
1,2195000000,4,1
1,582000000,2,3
1,318000000,1,1
1,1609560000,3,1
1,3080000000,4,1
1,1339260000,3,1
1,1389240000,3,1
1,4300000000,5,1
1,1412700000,3,1
1,2500000000,4,1
1,2000000000,3,1
1,3320000000,4,1
1,3100000000,4,1
1,2350000000,4,1
1,2190000000,4,1
1,5600000000,5,1
1,260000000,1,1
1,4050000000,5,1
1,205000000,1,2
1,1860000000,3,1
1,1460000000,3,1
1,1950000000,3,1
1,2297000000,4,1
1,2800000000,4,1
1,3300000000,4,1
1,215000000,1,2
1,4000000000,5,1
1,2660000000,4,1
1,3195000000,4,1
1,2650000000,4,1
1,3890000000,5,1
1,415000000,1,2
1,160000000,1,2
1,3360000000,4,1
1,2000000000,3,1
1,2300000000,4,1
1,1840000000,3,1
1,3100000000,4,1
1,3700000000,5,1
1,2810000000,4,3
1,2900000000,4,1
1,4500000000,5,1
1,4200000000,5,4
1,1680000000,3,1
1,2630000000,4,1
1,6400000000,5,1
1,6100000000,5,1
1,425000000,1,2
1,3130000000,4,1
1,2552000000,4,1
