market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate,RSI,prev_close,change,gain,loss
KRW-BTC,2022-03-18,2022-03-18T09:00:00,50069000.0,51220000.0,49423000.0,50770000.0,1647647999390,319119972074.8756,6364.18693386,50069000.0,701000.0,0.0140006791,44.958198259682646,50389000.0,-320000.0,0.0,320000.0
KRW-BTC,2022-03-19,2022-03-19T09:00:00,50736000.0,51300000.0,50615000.0,51245000.0,1647734398674,255391353100.587,5016.39241849,50770000.0,475000.0,0.0093559188,57.7894171367177,50069000.0,701000.0,701000.0,0.0
KRW-BTC,2022-03-20,2022-03-20T09:00:00,51245000.0,51350000.0,50001000.0,50462000.0,1647820799275,205914406605.1418,4050.02865173,51245000.0,-783000.0,-0.0152795395,58.67735997896397,50770000.0,475000.0,475000.0,0.0
KRW-BTC,2022-03-21,2022-03-21T09:00:00,50471000.0,50756000.0,49832000.0,50128000.0,1647907199456,221912265997.20813,4418.7158295,50462000.0,-334000.0,-0.0066188419,58.97588371324744,51245000.0,-783000.0,0.0,783000.0
KRW-BTC,2022-03-22,2022-03-22T09:00:00,50128000.0,52396000.0,50013000.0,51704000.0,1647993599539,433481110248.89,8395.36748077,50128000.0,1576000.0,0.0314395148,58.96030120879846,50462000.0,-334000.0,0.0,334000.0
KRW-BTC,2022-03-23,2022-03-23T09:00:00,51689000.0,52232000.0,51118000.0,52138000.0,1648079999566,273158203021.73694,5293.40295388,51704000.0,434000.0,0.0083939347,60.9662624866495,50128000.0,1576000.0,1576000.0,0.0
KRW-BTC,2022-03-24,2022-03-24T09:00:00,52138000.0,53416000.0,51800000.0,52966000.0,1648166399449,382789038401.1927,7289.94185362,52138000.0,828000.0,0.0158809314,52.18562413421579,51704000.0,434000.0,434000.0,0.0
KRW-BTC,2022-03-25,2022-03-25T09:00:00,52907000.0,54450000.0,52700000.0,53791000.0,1648252799393,303815424407.88043,5670.82751458,52966000.0,825000.0,0.0155760299,68.1260632106724,52138000.0,828000.0,828000.0,0.0
KRW-BTC,2022-03-26,2022-03-26T09:00:00,53836000.0,54241000.0,53402000.0,53902000.0,1648339199562,179588672016.24872,3333.05874444,53791000.0,111000.0,0.0020635422,74.03441011235955,52966000.0,825000.0,825000.0,0.0
KRW-BTC,2022-03-27,2022-03-27T09:00:00,53888000.0,56201000.0,53674000.0,55949000.0,1648425599494,292027317612.86926,5341.02371604,53902000.0,2047000.0,0.0379763274,73.86464039582965,53791000.0,111000.0,111000.0,0.0
KRW-BTC,2022-03-28,2022-03-28T09:00:00,55936000.0,57678000.0,55827000.0,56914000.0,1648511999555,361568618614.51605,6374.43514602,55949000.0,965000.0,0.0172478507,84.0969696969697,53902000.0,2047000.0,2047000.0,0.0
KRW-BTC,2022-03-29,2022-03-29T09:00:00,56900000.0,57540000.0,56390000.0,56985000.0,1648598399508,378907479327.83264,6629.17847063,56914000.0,71000.0,0.0012474962,83.14924222964295,55949000.0,965000.0,965000.0,0.0
KRW-BTC,2022-03-30,2022-03-30T09:00:00,56985000.0,57100000.0,56015000.0,56620000.0,1648684797968,234529415255.21085,4136.11449268,56985000.0,-365000.0,-0.0064051943,87.19137178001604,56914000.0,71000.0,71000.0,0.0
KRW-BTC,2022-03-31,2022-03-31T09:00:00,56594000.0,57227000.0,55230000.0,55352000.0,1648771199269,290425399182.101,5141.56326564,56620000.0,-1268000.0,-0.0223949135,81.67768174885613,56985000.0,-365000.0,0.0,365000.0
KRW-BTC,2022-04-01,2022-04-01T09:00:00,55331000.0,56790000.0,54246000.0,56369000.0,1648857599458,373769566768.1517,6752.64535556,55352000.0,1017000.0,0.0183733198,74.49689325790597,56620000.0,-1268000.0,0.0,1268000.0
KRW-BTC,2022-04-02,2022-04-02T09:00:00,56326000.0,57350000.0,55831000.0,56050000.0,1648943999060,219803855319.6424,3882.90202767,56369000.0,-319000.0,-0.0056591389,75.22299306243805,55352000.0,1017000.0,1017000.0,0.0
KRW-BTC,2022-04-03,2022-04-03T09:00:00,56006000.0,57500000.0,55830000.0,56639000.0,1649030398864,216198441541.75647,3818.05603689,56050000.0,589000.0,0.0105084746,71.95467422096317,56369000.0,-319000.0,0.0,319000.0
KRW-BTC,2022-04-04,2022-04-04T09:00:00,56596000.0,57300000.0,55510000.0,57055000.0,1649116799361,333784681103.21405,5916.74018564,56639000.0,416000.0,0.0073447624,78.73290538654759,56050000.0,589000.0,589000.0,0.0
KRW-BTC,2022-04-05,2022-04-05T09:00:00,57069000.0,57645000.0,56070000.0,56155000.0,1649203199989,262969075152.23587,4627.20865106,57055000.0,-900000.0,-0.0157742529,81.97765672606408,56639000.0,416000.0,416000.0,0.0
KRW-BTC,2022-04-06,2022-04-06T09:00:00,56195000.0,56323000.0,53034000.0,53072000.0,1649289599934,371677583452.9044,6776.51882585,56155000.0,-3083000.0,-0.0549016116,71.91531265386509,57055000.0,-900000.0,0.0,900000.0
KRW-BTC,2022-04-07,2022-04-07T09:00:00,53072000.0,54340000.0,52754000.0,53814000.0,1649376000057,287115749510.7967,5354.28937148,53072000.0,742000.0,0.0139810069,53.64729771946267,56155000.0,-3083000.0,0.0,3083000.0
KRW-BTC,2022-04-08,2022-04-08T09:00:00,53813000.0,54700000.0,52798000.0,52934000.0,1649462399725,276079923582.83856,5123.92239629,53814000.0,-880000.0,-0.016352622,53.33385752476805,53072000.0,742000.0,742000.0,0.0
KRW-BTC,2022-04-09,2022-04-09T09:00:00,52934000.0,53355000.0,52754000.0,53258000.0,1649548799799,119522891228.52135,2253.81675285,52934000.0,324000.0,0.0061208297,46.64526736083928,53814000.0,-880000.0,0.0,880000.0
